ds,trend,cap,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-06-29,25744.797836262165,64226.25000000001,21517.35727581332,30507.322872649587,25744.797836262165,25744.797836262165,385.25703523006223,385.25703523006223,385.25703523006223,385.25703523006223,385.25703523006223,385.25703523006223,0.0,0.0,0.0,26130.054871492226
2015-07-06,25738.528040236328,64226.25000000001,21479.333319283905,30299.556760929474,25738.528040236328,25738.528040236328,133.58286492321525,133.58286492321525,133.58286492321525,133.58286492321525,133.58286492321525,133.58286492321525,0.0,0.0,0.0,25872.11090515954
2015-07-13,25732.25875009175,64226.25000000001,21379.620366059225,30116.0523278647,25732.25875009175,25732.25875009175,-94.97161332413846,-94.97161332413846,-94.97161332413846,-94.97161332413846,-94.97161332413846,-94.97161332413846,0.0,0.0,0.0,25637.287136767613
2015-07-20,25725.989966285088,64226.25000000001,21105.78888099716,29764.054206043944,25725.989966285088,25725.989966285088,-147.12382885466775,-147.12382885466775,-147.12382885466775,-147.12382885466775,-147.12382885466775,-147.12382885466775,0.0,0.0,0.0,25578.86613743042
2015-07-27,25719.72168927282,64226.25000000001,21046.278523965248,29859.56046522396,25719.72168927282,25719.72168927282,-123.8829334812771,-123.8829334812771,-123.8829334812771,-123.8829334812771,-123.8829334812771,-123.8829334812771,0.0,0.0,0.0,25595.838755791545
2015-08-03,25713.453919511292,64226.25000000001,20889.7176893118,29820.562161409835,25713.453919511292,25713.453919511292,-200.99378213358463,-200.99378213358463,-200.99378213358463,-200.99378213358463,-200.99378213358463,-200.99378213358463,0.0,0.0,0.0,25512.460137377708
2015-08-10,25707.18665745667,64226.25000000001,20855.447075788998,29554.758180598474,25707.18665745667,25707.18665745667,-318.06279031090384,-318.06279031090384,-318.06279031090384,-318.06279031090384,-318.06279031090384,-318.06279031090384,0.0,0.0,0.0,25389.123867145765
2015-08-17,25700.91990356497,64226.25000000001,20840.089509921007,30230.55498071176,25700.91990356497,25700.91990356497,-171.90936289409723,-171.90936289409723,-171.90936289409723,-171.90936289409723,-171.90936289409723,-171.90936289409723,0.0,0.0,0.0,25529.01054067087
2015-08-24,25694.65365829205,64226.25000000001,21515.689932585443,30650.466849182634,25694.65365829205,25694.65365829205,425.55470337671824,425.55470337671824,425.55470337671824,425.55470337671824,425.55470337671824,425.55470337671824,0.0,0.0,0.0,26120.208361668767
2015-08-31,25688.387922093618,64226.25000000001,22543.540470663625,31595.844068033588,25688.387922093618,25688.387922093618,1244.6777139702087,1244.6777139702087,1244.6777139702087,1244.6777139702087,1244.6777139702087,1244.6777139702087,0.0,0.0,0.0,26933.065636063828
